name,short_name,id,dataset_id
Kartódromo Santa Apolônia,ApoloniaK V3,808678a3-17f4-435a-b578-e4658bd6a8c0,208b84306b11de1eec609c335f115e14--kart-dromo-santa-apol-nia
Zelenogorsk,Zelenogorsk,bca0eaed-dab4-444d-ad9e-4a97f1b79b38,a655d694849ec15cdce5f4aab0a18236--zelenogorsk
Tor Gokartowy Szczecin,Szczecin 14R,c3568e3f-62a8-4dcc-8638-9e19adba2c88,7f58dac575b35db9e7e6be0fb3e9fe09--tor-gokartowy-szczecin
Pittsburgh International Race Complex,PittRaceK,13edb37c-f1bf-4981-bc8c-3f11292732dd,9b7f17d73c63c8adc83a7779c8c1d3b0--pittsburgh-international-race-complex
Kartodromo Checo Pérez,KCP C5-ACW,c8abc22e-fe6f-4234-afd4-c9d5f78375eb,2dd0640bed8e3afb189d8b1f055a0553--kartodromo-checo-p-rez
Bira Go Kart Circuit,Bira 1321,bee08775-c3e7-4614-ba53-0e29501f55ad,16ba6f2a516e8e3e5993b48926537f37--bira-go-kart-circuit
Monticello Motor Club,MMC Mushroom,ad504df6-f059-4c8c-afd0-bcf301ddb7fe,12182328d08746df91948be0a947561f--monticello-motor-club
GMV GoKart Motorsport Reichshof,Reichshof,cc7fa159-4a50-47c2-abdf-384e4d8edeeb,24f0eb920739185cb80e0460920931ea--gmv-gokart-motorsport-reichshof
Kartódromo Arena Schincariol,SchincariolK,301c4aaa-0489-4e42-9a04-84db70a748eb,f320f41496c8248a60af93b5c5e43696--kart-dromo-arena-schincariol
Hal Far Raceway,Hal Far R,73c86212-5249-4302-9226-2617e04b487a,4bbff9736b22febb18be1a014f03c8a9--hal-far-raceway
Kingsport Speedway,KingsportS,639def44-4682-40b1-9007-53792635c03b,acd916aa84d53c9363b40413cd6f96e6--kingsport-speedway
Mega Fast Karts,MFastKartD,a047ad5a-2340-46db-aa69-bec2ae8f458d,68ba45fd958a7cc880d14a286341b63e--mega-fast-karts
Canaan Motor Club,CanaanVarS,268cdd8e-572a-4c6d-ab05-fc3e5c5dbe71,53df0cdc4e505edcf0a6d480eb8a9d23--canaan-motor-club
Dixieland Speedway,Dixieland,48742fef-e2fc-428d-b552-776a5233bd84,4a80c5a852344200a7ccdb117489dee0--dixieland-speedway
Suzuka Twin Circuit,STC,c2d9c17c-77db-445c-834f-1bb4055679fd,bb84cd783d1d09bbe5ecfb23b257a6b7--suzuka-twin-circuit
Coweta Raceway,Coweta Short,8eadc6ac-4726-4ad3-8a42-1748364d091b,4258cc814069b9ee44b770deab934613--coweta-raceway
Mondello Park,MondelloVar2,0a0dc6fa-0449-4204-9e73-73e031ae0c42,7cf24881f0a1bfa94f7099d4bc04c67e--mondello-park
Pista Minimoto Chessa Benito,Chessa,d99bc3ab-eb79-453a-96b7-54cfa680ef93,29c27bab5720ac86f19848681d42af03--pista-minimoto-chessa-benito
Pista Ronco OMP,Ronco V5,fd7de390-2dbe-4522-bded-7ac30fdeaa45,70467041ea3a038b82b4cb5ffb83bf19--pista-ronco-omp
Switzer's Fleming County Raceway,Switzer's,7c11e644-2f63-4cf0-88f2-b1a096c113ee,e394406c4a07ddd38eaebfe20e290f96--switzer-s-fleming-county-raceway
Knockhill Racing Circuit,Knockhill,2c5dee6e-69ef-47bb-b0df-acb1b1a53534,d6a108f7d2bf8d1b8ddba4ca5de5410d--knockhill-racing-circuit
Monticello,Monticello,b9e7a98d-171d-4bb0-85e5-07e66cce2340,265ebd579ba96e050dc1c38f9c933eec--monticello
Central Coast Speedway Kart Club,CCSKC,75ab4c8a-2d8f-4b61-bcae-50e6452de91f,a3725e687d63b8494283b37d56ef4c8e--central-coast-speedway-kart-club
Pista Fanelli,TorricellaL,8549037b-7773-4bfe-930a-39a0060abb9a,47613d836ac982b7c603808fee24f3ce--pista-fanelli
Oklahoma Motorsports Complex,OMC,32c341f5-fb19-48a2-9dbb-303be4f04bfa,947c2f18baa319f1c74d0a7b0b1d5ed8--oklahoma-motorsports-complex
Alastaro Circuit,Alastaro DW,cf8313e5-e7d8-4e67-b737-4bb8155c6ddd,e54acec244ba11baaa28dc8c8238ff74--alastaro-circuit
Kartódromo La Chutana,Chutana V7,462f5b25-0c75-4a71-9159-d8f90dc7f8da,c100c20be3d0a67622b432d63dbf42ff--kart-dromo-la-chutana
Speedsportz Racing Park,Speedsporz3q,d54a01d7-42cc-46d4-8e6c-f3f6ef579d92,43c66ae43cab09c6d1b181803fbd370b--speedsportz-racing-park
Ravenna Motor Park,Ravenna,207334a8-0fbe-49f2-b317-7c9945f893e1,bfc58c1c26c425eef8997e80694625e2--ravenna-motor-park
West Liberty,West Liberty,a86b973d-1544-4666-9809-e2ee3309f987,a5c1c49e7be732911dce455a2c9948eb--west-liberty
TOSFED Korfez Kart,KorfezKart,88f04daa-1791-42cf-9864-baffcf8cc135,1367d60d155b66e0bc1e402e61e12b96--tosfed-korfez-kart
Pit Stop Karting,PitStop1,dd32e783-c33f-43d4-95de-9efc263747ad,ada8f9f62de33135970d9a1f83ce868c--pit-stop-karting
Autódromo XRP de Cajicá,Cajica R V2,af661019-79f2-433c-a9a6-b1976eeb6bb4,eccee2add6162f92dc2d91a4137788a6--aut-dromo-xrp-de-cajic-
Oaklane Quarter Midget Racing Club,Oaklane QM,b5845f39-ed87-416e-8530-e5102059643f,c17eabb0c2821b7de809b350c39ec229--oaklane-quarter-midget-racing-club
Lausitzring Bike,LausitzringB,a1891f24-c68c-46ff-a537-e6442c2fc737,4adb6cb93543f1affb9f1a2c7aa9b446--lausitzring-bike
